ZamsT,ZamsL,TamsT,TamsL,08T,08L,1T,1L,1.2T,1.2L,1.4T,1.4L,1.6T,1.6L,1.8T,1.8L,2T,2L,2.2T,2.2L,2.5T,2.5L,3T,3L,4T,4L,4.5T,4.5L
3.781,-0.271,3.772,0.002,3.637,3.247,3.645,3.227,3.653,3.204,3.659,3.188,3.675,3.018,3.662,3.341,3.655,3.522,3.644,3.743,3.641,3.877,3.631,4.151,3.641,4.157,3.644,4.231
3.812,-0.027,3.794,0.234,3.702,1.965,3.702,2.117,3.702,2.256,3.702,2.361,3.701,2.495,3.712,2.326,3.717,2.305,3.718,2.359,3.718,2.475,3.714,2.687,3.712,2.888,3.709,3.069
3.841,0.189,3.815,0.435,3.703,1.953,3.704,2.072,3.705,2.187,3.705,2.292,3.704,2.428,3.726,2.22,3.73,2.261,3.731,2.348,3.735,2.489,3.74,2.757,3.745,2.985,3.763,3.191
3.873,0.379,3.84,0.609,3.758,0.657,3.76,0.943,3.755,1.148,3.754,1.304,3.751,1.488,3.744,1.761,3.751,1.811,3.747,2.076,3.733,2.296,3.726,2.583,3.722,2.821,3.728,2.878
3.911,0.553,3.875,0.76,3.815,0.435,3.875,0.76,3.94,1.032,3.998,1.304,4.033,1.544,3.752,1.656,3.967,1.94,3.976,1.949,3.746,2.146,3.737,2.425,3.733,2.667,4.036,3
3.947,0.707,3.91,0.891,3.819,0.327,3.879,0.677,3.947,0.968,3.995,1.215,4.035,1.549,4.066,1.736,4.092,1.893,4.115,2.038,3.993,2.28,4.014,2.56,4.023,2.796,4.252,2.912
3.978,0.847,3.94,1.032,3.781,-0.271,3.841,0.189,3.939,0.844,3.99,1.071,3.988,1.452,4.065,1.731,4.093,1.898,4.116,2.042,4.146,2.229,4.188,2.496,4.222,2.718,4.254,2.917
4.006,0.971,3.962,1.178,,,,,3.911,0.553,3.978,0.847,4.04,1.251,4.017,1.643,4.043,1.809,4.066,1.957,4.147,2.233,4.189,2.501,4.224,2.724,4.21,2.853
4.032,1.089,3.99,1.304,,,,,,,,,4.032,1.089,4.077,1.295,4.115,1.476,4.146,1.625,4.097,2.153,4.141,2.426,4.179,2.656,4.295,2.504
4.056,1.195,4.014,1.445,,,,,,,,,,,,,,,,,4.185,1.829,4.231,2.093,4.267,2.318,,
4.067,1.246,4.033,1.544
4.077,1.295,4.05,1.64
4.097,1.388,4.057,1.688
4.115,1.476,4.065,1.731
4.146,1.625,4.079,1.811
4.185,1.829,4.092,1.893
4.231,2.093,4.115,2.038
4.267,2.318,4.146,2.229
4.295,2.504,4.188,2.496
4.32,2.666,4.222,2.718
4.342,2.81,4.252,2.912
4.379,3.056,4.278,3.081
4.408,3.259,4.301,3.237
,,4.338,3.507
,,4.368,3.738

